timestamp,text
0:00,这绝对是精神上的观察，
0:02,中国北方深处的落差是华山栈道，一条有 700 年历史的小道，
0:11,据说每年会导致 100 人死亡，它被称为世界上最危险的徒步旅行，
0:17,今天我要尝试一下徒步旅行所以现在我在翔，这是一个
0:24,距离这次危险的徒步旅行大约120公里的城市，我们必须先到达那里这是我所有的东西几乎
0:30,都是相机设备我正在去地铁站的路上但西安感觉
0:37,和北京、上海很不一样，感觉超级有文化，
0:42,到处都是美丽的中国建筑，这里很好，我们是地铁
0:46,站，我有点快，因为我不知道要花多长时间才能
0:54,到达穿过西安市，我以为大约需要 10 分钟，大约 35 分钟
1:00,，所以我的火车很快就要出发了。令人烦恼的是，在中国，你预订了特定的火车
1:06,旅程，所以你不可能买到下一趟火车。我有一个特定的座位和特定的火车
1:11,32 33 a 我已经知道了，每个人都在排队通过，但我总是走
1:18,楼梯，这样更快，我有点厚脸皮，把自己安排在头等舱，因为它是额外的
1:23,2 为何不嘿，时不时地善待自己，我是马车 3 岁，我们走吧，我是
1:32,7 号，看看这个，我不知道为什么，但我是这里唯一的一个，其他人都是可能
1:40,只是坐二等舱，因为它们便宜一点，现在是时候打开冒险模式 了，我没有告诉你的是，我住在
1:48,我实际上看到的 这座疯狂山顶上的一间宿舍里的酒店里
1:55,我们要攀登的这座特定的山，它看起来令人难以置信，它
2:02,实际上非常高，因为我们现在处于海平面，但我们将
2:06,"在华山上升到大约 2,000 米，或者无论你怎么说，我都有不知道我们去山吧，我"
2:16,实际上可能会先吃点东西，因为我有点饿了，我的帽子放在包里，我觉得自己是一个真正的
2:22,游客，可能会像个讨厌的人一样引人注目，这里其他人都是中国人，但我喜欢它嘿哦，
2:31,稍后我想吃点东西呃不我想吃嘿嘿怎么了看看这家伙
2:41,在我爬山之前带我去哪里有点饿H很好很好好吧让我翻译一下因为我看不懂
2:49,中文英语[音乐]我，我不会说中文，我只点了一些炒饭，我
3:00,想也有一些饺子来了，还有标准的炒饭，但相当害羞哇，我有点
3:09,摇摇欲坠，我不知道是不是因为我'我对这次徒步感到紧张，但这让使用
3:14,筷子变得更加困难，我希望你能看到我可能不得不出去，好吧，我已经吃完了食物，还没有全部
3:26,吃完，我没有填饱肚子，是时候起床了现在我有点
3:31,白痴了，我没有提前预订或预订去华山国家公园或
3:37,其他任何名称的门票，所以我现在需要去找一个，但我真的不知道我需要什么买
3:45,张山的票我还在爬啊，翻译得不太好，上面写着我还在爬山，
3:54,我们走吧，好吧，尝试翻译东西，翻译应用程序真的
4:03,很难，很烦人，但这就是中国的情况，不是抱怨这里没有其他外国人，
4:11,我到底把自己惹了什么，我很兴奋，
4:18,但我必须说实话，我
4:20,对此 有点紧张
4:24,，我不知道这意味着什么，
4:32,我
4:32,现在更加不确定了，我跟她说话了，好吧，我只是走路去尝试找到一些
4:42,票，我不知道我在做什么，也许如果我们真的很幸运，而且我确信他们
4:50,甚至可能在售票处说英语乘坐公共汽车和 C 车的时间还可以，
5:00,这个很棒的女人英语说得很好，帮了我很多忙，所以我要去北峰
5:05,，从那里我有大约两个小时的徒步旅行才能到达西峰，这是我
5:11,今晚住的地方，然后当我到达那里时，我会弄清楚这条木板步行在哪里，护照一张
5:19,一张，好像不忙，因为我已经在这些转弯风格中行走了大约
5:28,5 分钟，所以现在我们有 20 分钟的巴士旅程一路到达起点
5:34,缆车在哪里，但看看我，这是我在我自己的公共汽车上，
5:40,除了司机，这里没有其他人，所以我们将进行一次非常有趣的对话，我和
5:44,他用中文进行对话，现在这就是我想的原因没有其他人在这里，因为每个人都一大早来，
